GeneID	UHR_Rep1	UHR_Rep2	UHR_Rep3	HBR_Rep1	HBR_Rep2	HBR_Rep3
ENSG00000211665	0	0	0	0	0	0
ENSG00000211666	175	150	186	0	0	0
ENSG00000211667	0	0	0	0	0	0
ENSG00000211668	0	0	0	0	0	0
ENSG00000211669	0	0	0	0	0	0
ENSG00000211670	0	1	0	0	0	0
ENSG00000211672	0	0	0	0	0	0
ENSG00000211673	0	0	0	0	0	0
ENSG00000211674	0	0	0	0	0	0
ENSG00000211675	0	0	0	0	0	0
ENSG00000211676	0	0	0	0	0	0
ENSG00000211677	1205	709	894	0	0	0
ENSG00000211678	0	0	0	0	0	0
ENSG00000211679	125	65	92	0	0	0
ENSG00000211680	0	0	0	0	0	0
ENSG00000211681	0	0	0	0	0	0
ENSG00000211682	0	0	0	0	0	0
ENSG00000211683	1	1	1	0	2	0
ENSG00000211684	0	0	0	0	0	0
ENSG00000211685	8	3	4	0	0	0
ENSG00000212102	0	0	0	0	0	0
ENSG00000212216	0	0	0	0	0	0
ENSG00000212542	0	0	0	0	0	0
ENSG00000212569	0	0	0	0	0	0
ENSG00000212939	0	0	0	0	0	0
ENSG00000213279	5	1	3	0	0	0
ENSG00000213683	0	0	0	0	0	0
ENSG00000213707	9	10	6	1	2	2
ENSG00000213727	0	0	0	0	0	0
ENSG00000213752	0	0	0	0	0	0
ENSG00000213790	0	0	0	0	0	0
ENSG00000213857	0	0	0	0	0	0
ENSG00000213888	6	9	4	11	13	13
ENSG00000213923	513	296	390	218	211	197
ENSG00000214076	6	5	10	40	40	40
ENSG00000214093	1	0	1	0	0	0
ENSG00000214125	0	0	0	0	0	0
ENSG00000214161	0	0	0	0	0	0
ENSG00000214491	2	4	5	3	12	1
ENSG00000214526	0	0	0	0	0	0
ENSG00000214727	0	1	0	0	0	0
ENSG00000215012	207	145	167	82	123	98
ENSG00000215193	208	137	189	150	179	142
ENSG00000215268	0	2	0	0	0	0
ENSG00000215270	0	0	0	0	0	0
ENSG00000215333	0	1	0	0	0	0
ENSG00000215347	0	0	0	0	0	0
ENSG00000215403	0	0	0	0	0	0
ENSG00000215456	0	0	0	0	0	0
ENSG00000215464	0	0	0	0	0	0
ENSG00000215478	0	0	0	0	1	0
ENSG00000215481	4	2	6	1	1	2
ENSG00000215493	0	0	0	0	0	0
ENSG00000215498	0	1	0	0	0	0
ENSG00000215544	0	0	0	0	0	0
ENSG00000215568	0	0	0	0	0	0
ENSG00000215771	0	0	0	0	1	0
ENSG00000217261	0	0	0	0	0	0
ENSG00000217442	0	0	0	0	0	1
ENSG00000218357	0	0	0	0	0	0
ENSG00000218537	3	3	3	1	0	1
ENSG00000219438	17	14	9	136	157	151
ENSG00000220248	1	0	0	0	0	0
ENSG00000220702	0	0	0	0	0	0
ENSG00000220891	1	1	0	0	0	0
ENSG00000221039	0	0	0	0	0	0
ENSG00000221598	0	0	0	0	0	0
ENSG00000221760	0	0	0	0	0	0
ENSG00000221890	68	59	49	383	442	392
ENSG00000221963	328	189	251	63	54	56
ENSG00000222037	0	0	0	0	0	0
ENSG00000222044	0	2	0	0	0	0
ENSG00000222352	0	0	0	0	0	0
ENSG00000222585	0	0	0	0	0	0
ENSG00000222630	0	0	0	0	0	0
ENSG00000222698	0	0	0	0	0	0
ENSG00000222915	0	0	0	0	0	0
ENSG00000223056	0	1	0	0	0	0
ENSG00000223142	0	0	0	0	0	0
ENSG00000223350	0	0	0	0	0	0
ENSG00000223461	0	0	0	0	0	0
ENSG00000223553	1	1	1	2	2	1
ENSG00000223679	0	0	0	0	0	0
ENSG00000223695	0	0	0	0	0	0
ENSG00000223704	3	3	2	2	3	5
ENSG00000223726	0	0	0	0	0	0
ENSG00000223730	0	0	0	0	0	0
ENSG00000223831	0	0	0	0	0	0
ENSG00000223843	0	1	0	1	1	0
ENSG00000223875	1	0	0	0	0	0
ENSG00000223999	0	0	0	0	0	0
ENSG00000224003	8	3	3	2	5	3
ENSG00000224027	0	0	0	0	0	0
ENSG00000224050	0	0	0	0	0	0
ENSG00000224086	6	12	6	13	26	12
ENSG00000224124	0	0	0	0	0	0
ENSG00000224144	0	0	0	0	0	0
ENSG00000224192	0	0	0	0	0	0
ENSG00000224205	0	0	0	0	0	0
ENSG00000224256	0	0	0	0	0	0
ENSG00000224271	12	16	11	2	5	5
ENSG00000224277	0	0	0	0	0	0
ENSG00000224279	0	0	0	0	0	0
ENSG00000224334	0	1	0	0	0	0
ENSG00000224404	0	0	0	0	0	2
ENSG00000224435	1	0	0	0	0	0
ENSG00000224465	0	0	0	0	0	0
ENSG00000224688	0	0	0	0	0	0
ENSG00000224715	0	1	0	0	1	0
